system:index,cloud_cover,date,mean,name,zone,.geo
LC08_146040_20231219_2,1.66,2023-12-19,20.326287380000053,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146040_20231219_3,1.66,2023-12-19,20.67834344000005,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146040_20231219_4,1.66,2023-12-19,20.58263887999999,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146040_20231219_5,1.66,2023-12-19,21.074833760000047,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
LC08_146040_20231219_6,1.66,2023-12-19,20.25792697999998,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146040_20231219_7,1.66,2023-12-19,21.54652052000006,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146040_20231219_8,1.66,2023-12-19,20.45275412000001,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146040_20231219_9,1.66,2023-12-19,20.55187669999998,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146041_20230101_0,16.09,2023-01-01,,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146041_20230101_1,16.09,2023-01-01,,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146041_20230101_2,16.09,2023-01-01,,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146041_20230101_3,16.09,2023-01-01,,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146041_20230101_4,16.09,2023-01-01,,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146041_20230101_5,16.09,2023-01-01,,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
LC08_146041_20230101_6,16.09,2023-01-01,,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146041_20230101_7,16.09,2023-01-01,,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146041_20230101_8,16.09,2023-01-01,,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146041_20230101_9,16.09,2023-01-01,,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146041_20230117_0,0.06,2023-01-17,,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146041_20230117_1,0.06,2023-01-17,,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146041_20230117_2,0.06,2023-01-17,,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146041_20230117_3,0.06,2023-01-17,,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146041_20230117_4,0.06,2023-01-17,,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146041_20230117_5,0.06,2023-01-17,,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
LC08_146041_20230117_6,0.06,2023-01-17,,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146041_20230117_7,0.06,2023-01-17,,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146041_20230117_8,0.06,2023-01-17,,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146041_20230117_9,0.06,2023-01-17,,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146041_20230202_0,0.06,2023-02-02,,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146041_20230202_1,0.06,2023-02-02,,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146041_20230202_2,0.06,2023-02-02,,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146041_20230202_3,0.06,2023-02-02,,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146041_20230202_4,0.06,2023-02-02,,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146041_20230202_5,0.06,2023-02-02,,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
LC08_146041_20230202_6,0.06,2023-02-02,,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146041_20230202_7,0.06,2023-02-02,,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146041_20230202_8,0.06,2023-02-02,,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146041_20230202_9,0.06,2023-02-02,,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146041_20230218_0,6.26,2023-02-18,,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146041_20230218_1,6.26,2023-02-18,,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146041_20230218_2,6.26,2023-02-18,,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146041_20230218_3,6.26,2023-02-18,,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146041_20230218_4,6.26,2023-02-18,,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
